Case Number,Casecode,Opened,Closed,Charges,Disposition
23-038,ADOPT,2/15/2023,00/00/0000,OTHER,
23-044,APCON,2/27/2023,9/5/2023,OTHER,Other
23-047,CUSTODY,3/3/2023,00/00/0000,OTHER,
23-081,PRB,3/16/2023,4/6/2023,OTHER,Other
23-084,ADOPT,3/21/2023,00/00/0000,OTHER,
23-105,CUSTODY,4/19/2023,00/00/0000,OTHER,
23-147,CUSTODY,6/28/2023,00/00/0000,OTHER,
23-172,CUSTODY,7/28/2023,00/00/0000,OTHER,
23-226,DISSO,9/18/2023,00/00/0000,OTHER,
24-007,CUSTODY,1/11/2024,00/00/0000,OTHER,
24-010,DV,1/17/2024,00/00/0000,OTHER,
24-040,APCON,2/16/2024,3/22/2024,OTHER,Other
24-057,CIV,3/7/2024,3/26/2024,OTHER,
24-088,APCON,5/8/2024,12/13/2024,OTHER,Other
24-095,APCON,5/15/2024,9/11/2024,OTHER,Dismissal
24-188,ACC300,8/14/2024,00/00/0000,OTHER,
24-189,CUSTODY,8/15/2024,00/00/0000,OTHER,
24-192,DV,8/21/2024,00/00/0000,OTHER,
24-224,APCVDM,11/1/2024,12/23/2024,OTHER,Other
24-243,RO,11/19/2024,12/17/2024,OTHER,Other
24-244,CNSV,11/21/2024,00/00/0000,OTHER,
24-279,APJVSQ,12/27/2024,1/17/2025,OTHER,OTHER
25-019,APCON,1/16/2025,2/6/2025,OTHER,Other
25-026,APCON,1/31/2025,00/00/0000,OTHER,
25-028,GUARD,2/19/2025,00/00/0000,OTHER,
18-164,APCON,7/9/2018,7/30/2018,PRCS,Plea
19-051,APCON,2/15/2019,3/7/2019,PRCS,Plea
18-288,APCON,11/27/2018,2/21/2019,PRCS,Plea
18-306,APCON,11/27/2018,2/21/2019,PRCS,Plea
17-363,APCON,12/7/2017,00/00/0000,PRCS,Plea
18-001,APCON,1/2/2018,00/00/0000,PRCS,Plea
18-020,APCON,1/18/2018,00/00/0000,PRCS,Plea
18-301-1,APCON,12/10/2018,00/00/0000,PRCS,Plea
17-341,APCON,11/28/2017,00/00/0000,PRCS,Plea
18-199,APCON,8/21/2018,00/00/0000,PRCS,Plea
18-282,APCON,11/14/2018,00/00/0000,PRCS,Plea
18-102-1,APCON,6/21/2018,00/00/0000,PRCS,Plea
18-102-4,APCON,4/19/2018,00/00/0000,PRCS,Plea
19-160,APCON,5/31/2018,8/1/2019,PRCS,Plea
19-232,APCON,8/2/2019,10/24/2019,PRCS,Plea
19-233,APCON,8/6/2019,8/28/2019,PRCS,Plea
19-302,APCON,9/13/2019,11/2/2020,PRCS,Plea
19-314,APCON,10/7/2019,10/30/2019,PRCS,Plea
19-341,APCON,10/24/2019,1/23/2020,PRCS,Plea
19-342,APCON,10/24/2019,10/24/2019,PRCS,Plea
20-085,APCON,2/5/2020,9/14/2020,PRCS,Plea
20-022,APCON,1/13/2020,3/13/2020,PRCS,Plea
20-102,APCON,4/6/2020,6/30/2020,PRCS,Plea
20-167,APCON,7/15/2020,10/28/2020,PRCS,Other
20-171,APCON,7/15/2020,10/21/2020,PRCS,Plea
20-172,APCON,7/1/2020,8/12/2020,PRCS,Plea
20-227,APCON,9/3/2020,11/1/2020,PRCS,Dismissal
20-268,APCON,10/15/2020,10/21/2020,PRCS,Plea
20-271,APCON,10/15/2020,10/21/2020,PRCS,Plea
20-297,APCON,10/28/2020,3/1/2021,PRCS,Plea
20-338,APCON,12/28/2020,6/13/2022,PRCS,Plea
21-030,APCON,2/16/2021,7/1/2021,PRCS,Plea
21-059,APCON,3/16/2021,7/1/2021,PRCS,Dismissed
21-064,APCON,3/23/2021,4/23/2021,PRCS,Plea
21-110,APCON,5/6/2021,4/18/2022,PRCS,Trial
21-142,APCON,6/18/2021,8/4/2021,PRCS,Plea
21-167,APCON,7/13/2021,7/20/2022,PRCS,Dismissal
21-200,APCON,8/11/2021,2/1/2025,PRCS,Plea
21-231,APCON,9/21/2021,7/1/2022,PRCS,Dismissal
21-282,APCON,11/19/2021,4/4/2022,PRCS,Plea
22-040,APCON,3/10/2022,7/1/2022,PRCS,Plea
22-041,APCON,3/14/2022,7/1/2022,PRCS,Plea
22-089,APCON,4/26/2022,10/5/2023,PRCS,Plea
22-117,APCON,5/17/2022,7/27/2022,PRCS,Plea
22-153,APCON,6/22/2022,10/5/2023,PRCS,Plea
22-154,APCON,6/20/2022,10/25/2022,PRCS,Plea
22-163,APCON,7/5/2022,7/7/2022,PRCS,Plea
22-164,APCON,7/5/2022,7/7/2022,PRCS,Plea
22-186,APCON,8/2/2022,8/11/2022,PRCS,Plea
22-237,APCON,9/13/2022,11/10/2022,PRCS,Plea
22-266,APCON,11/20/2022,5/18/2023,PRCS,Plea
22-269,APCON,11/10/2022,7/10/2023,PRCS,Plea
23-011,APCON,1/11/2023,2/7/2023,PRCS,Plea
23-020,APCON,1/17/2023,2/8/2023,PRCS,Dismissal
23-035,APCON,2/10/2023,10/27/2023,PRCS,Plea
23-070,APCON,3/13/2023,4/5/2023,PRCS,Plea
23-088,APCON,4/5/2023,4/12/2023,PRCS,Plea
23-108,APCON,4/26/2023,6/4/2024,PRCS,Plea
23-110,APCON,5/2/2023,6/8/2023,PRCS,Plea
23-112,APCON,5/4/2023,9/21/2023,PRCS,Plea
23-128,APCON,5/31/2023,6/16/2023,PRCS,Plea
23-151,APCON,6/30/2023,8/31/2023,PRCS,Plea
23-157,APCON,7/12/2023,9/20/2023,PRCS,Plea
24-089,APCON,7/13/2023,2/15/2024,PRCS,Plea
23-178,APCON,8/3/2023,12/11/2023,PRCS,Plea
23-192,APCON,8/23/2023,00/00/0000,PRCS,
23-296,APCON,11/28/2023,12/6/2023,PRCS,Plea
23-197,APCON,8/28/2023,1/29/2024,PRCS,Plea
23-267,APCON,10/26/2023,10/27/2023,PRCS,Plea
23-292,APCON,11/17/2023,1/29/2024,PRCS,Plea
24-002,APCON,1/2/2024,2/16/2024,PRCS,Plea
24-014,APCON,1/30/2024,2/8/2024,PRCS,Plea
24-024,APCON,2/27/2024,2/1/2025,PRCS,Other
24-029,APCON,2/27/2024,3/7/2024,PRCS,Plea
24-030,APCON,2/29/2024,4/11/2024,PRCS,Plea
24-069,APCON,4/15/2024,5/14/2024,PRCS,Plea
24-038,APCON,3/5/2024,8/19/2024,PRCS,Plea
24-049,APCON,2/28/2024,3/5/2024,PRCS,Plea
24-056,APCON,3/15/2024,4/29/2024,PRCS,Plea
24-061,APCON,3/20/2024,3/27/2024,PRCS,Plea
24-073,APCON,4/24/2024,4/25/2024,PRCS,Plea
24-100,APCON,5/14/2024,00/00/0000,PRCS,
24-106,APCON,5/21/2024,5/29/2024,PRCS,Plea
24-114,APCON,5/30/2024,6/5/2024,PRCS,Plea
24-122,APCON,6/6/2024,9/5/2024,PRCS,Plea
24-129,APCON,6/18/2024,6/26/2024,PRCS,Plea
24-138,APCON,6/21/2024,9/12/2024,PRCS,Plea
24-139,APCON,6/25/2024,6/26/2024,PRCS,Plea
24-146,APCON,7/9/2024,00/00/0000,PRCS,
24-155,APCON,7/16/2024,9/30/2024,PRCS,Other
24-158,APCON,7/17/2024,9/12/2024,PRCS,Dismissal
24-165,APCON,7/19/2024,8/28/2024,PRCS,Plea
24-172,APCON,7/9/2024,00/00/0000,PRCS,
24-178,APCON,7/24/2024,00/00/0000,PRCS,
24-195,APCON,8/28/2024,9/12/2024,PRCS,Plea
24-214,APCON,10/2/2024,00/00/0000,PRCS,
24-246,APCON,11/27/2024,1/16/2025,PRCS,Plea
24-249,APCON,12/4/2024,00/00/0000,PRCS,
24-262,APCON,1/6/2025,1/16/2025,PRCS,Dismissal
24-264,APCON,12/17/2024,12/30/2024,PRCS,Plea
25-009,APCON,1/10/2025,00/00/0000,PRCS,
25-010,APCON,1/10/2025,00/00/0000,PRCS,
25-011,APCON,1/10/2025,2/27/2025,PRCS,Plea
25-012,APCON,1/10/2025,00/00/0000,PRCS,
25-020,APCON,1/16/2025,00/00/0000,PRCS,
25-021,APCON,1/17/2025,3/10/2025,PRCS,Plea
25-024,APCON,2/11/2025,00/00/0000,PRCS,
25-029,APCON,2/13/2025,2/26/2025,PRCS,Plea
25-035,APCON,3/4/2025,3/6/2025,PRCS,Plea
19-038,APCON,1/30/2019,3/14/2019,PRF,Plea
19-143,APCON,5/17/2019,5/23/2019,PRF,Plea
18-203,APCON,8/28/2018,00/00/0000,PRF,Plea
19-287,APCON,9/5/2019,9/24/2019,PRF,Dismissal
19-316,APCON,9/27/2019,10/24/2019,PRF,Plea
19-364,APCON,11/15/2019,11/19/2019,PRF,Plea
20-162,APCON,7/10/2020,9/11/2020,PRF,Dismissal
20-200,APCON,8/4/2020,11/9/2020,PRF,Plea
21-045,APCON,2/22/2021,3/11/2021,PRF,Plea
21-088,APCON,4/13/2021,4/22/2021,PRF,Plea
21-091,APCON,4/16/2021,4/22/2021,PRF,Plea
21-218,APCON,9/2/2021,4/4/2022,PRF,Plea
21-235,APCON,9/29/2021,10/28/2021,PRF,Plea
21-301,APCON,12/9/2021,12/14/2021,PRF,Plea
22-018,APCON,2/8/2022,7/25/2022,PRF,Plea
22-039,APCON,3/4/2022,4/4/2022,PRF,Plea
22-050,APCON,3/17/2022,3/29/2022,PRF,Plea
22-071,APCON,4/14/2022,4/21/2022,PRF,Plea
22-144,APCON,6/14/2022,7/28/2022,PRF,Plea
22-177,APCON,7/20/2022,7/20/2022,PRF,Plea
22-216,APCON,8/31/2022,9/8/2022,PRF,Plea
22-259,APCON,11/3/2022,11/8/2022,PRF,Plea
22-295,APCON,12/16/2022,1/20/2023,PRF,Plea
23-012,APCON,1/17/2023,2/8/2023,PRF,Plea
23-033,APCON,2/7/2023,6/22/2023,PRF,Plea
23-034,APCON,2/7/2023,2/22/2023,PRF,Trial
23-043,APCON,2/23/2023,3/14/2023,PRF,Plea
23-094,APCON,4/14/2023,6/22/2023,PRF,Plea
23-129,APCON,5/30/2023,7/10/2023,PRF,Plea
23-156,APCON,7/12/2023,9/7/2023,PRF,Plea
23-180,APCON,8/8/2023,1/11/2024,PRF,Dismissal
23-190,APCON,8/18/2023,8/31/2023,PRF,Plea
23-207,APCON,9/7/2023,1/11/2024,PRF,Dismissal
23-229,APCON,9/28/2023,10/17/2023,PRF,Plea
23-250,APCON,10/12/2023,10/25/2023,PRF,Plea
23-256,APCON,10/17/2023,10/25/2023,PRF,Plea
23-261,APCON,10/17/2023,10/19/2023,PRF,Plea
23-299,APCON,12/1/2023,12/13/2023,PRF,Plea
23-307,APCON,12/15/2023,12/20/2023,PRF,Plea
23-313,APCON,12/19/2023,4/11/2024,PRF,Dismissal
23-314,APCON,12/21/2023,1/18/2024,PRF,Plea
23-315,APCON,12/21/2023,1/4/2024,PRF,Plea
24-018,APCON,1/31/2024,2/2/2024,PRF,Plea
24-053,APCON,3/7/2024,4/10/2024,PRF,Plea
24-054,APCON,3/7/2024,3/14/2024,PRF,Plea
24-081,APCON,5/1/2024,5/7/2024,PRF,Plea
24-127,APCON,6/12/2024,8/5/2024,PRF,Plea
24-140,APCON,6/25/2024,8/5/2024,PRF,Plea
24-153,APCON,7/16/2024,7/18/2024,PRF,Plea
24-183,APCON,8/1/2024,9/3/2024,PRF,Plea
24-213,APCON,10/1/2024,10/15/2024,PRF,Plea
24-229,APCON,10/24/2029,12/23/2024,PRF,Plea
24-253,APCON,12/10/2024,12/12/2024,PRF,Plea
25-034,APCON,2/28/2025,00/00/0000,PRF,
19-011,APCON,1/4/2019,3/25/2019,PV,Plea
19-012,APCON,1/4/2019,3/25/2019,PV,Plea
18-316,APCON,3/9/2018,8/2/2019,PV,Plea
20-104,APCON,4/1/2020,2/1/2025,PV,Plea
20-291,APCON,10/26/2020,5/11/2023,PV,Other
20-292,APCON,10/26/2020,5/11/2023,PV,Other
18-228,APCON,9/21/2018,5/6/2019,PV,Plea
18-167,APCON,8/7/2018,7/2/2019,PV,Dismissed
19-055,APCON,2/21/2019,8/5/2019,PV,Plea
18-317,APCON,12/18/2018,3/25/2019,PV,Plea
20-247,APCON,9/25/2020,6/1/2023,PV,Dismissal
19-071,APCON,3/8/2019,11/15/2022,PV,Other
18-321,APCON,4/3/2018,12/9/2019,PV,Plea
19-063,APCON,3/1/2019,4/17/2019,PV,Plea
19-338,APCON,10/29/2019,7/13/2020,PV,Plea
18-099,APCON,8/14/2018,5/7/2019,PV,Plea
19-043,APCON,2/5/2019,00/00/0000,PV,
18-061,APCON,3/7/2018,7/15/2019,PV,Plea
19-003,APCON,3/7/2018,7/15/2019,PV,Plea
19-090,APCON,3/11/2019,7/2/2019,PV,Plea
19-091,APCON,3/19/2019,4/30/2019,PV,Plea
19-141,APCON,5/16/2019,12/16/2019,PV,Dismissed
19-030,APCON,1/23/2019,4/11/2019,PV,Plea
18-258,APCON,10/29/2018,6/3/2019,PV,Plea
18-242,APCON,10/9/2018,9/10/2019,PV,Plea
19-016,APCON,1/10/2019,00/00/0000,PV,Plea
18-286,APCON,11/27/2018,3/7/2019,PV,Plea
18-255,APCON,11/11/2018,9/12/2019,PV,Plea
19-080,APCON,9/20/2019,11/18/2019,PV,Plea
18-285,APCON,11/27/2018,2/21/2019,PV,Plea
16-3272,APCON,2/26/2018,1/1/2019,PV,Plea
19-105,APCON,4/26/2019,8/27/2019,PV,Plea
19-084,APCON,3/12/2019,10/25/2019,PV,Other
19-088,APCON,3/20/2019,8/28/2019,PV,Plea
18-058,APCON,3/9/2018,00/00/0000,PV,Plea
18-280,APCON,11/8/2018,00/00/0000,PV,Plea
19-337,APCON,10/23/2019,9/8/2022,PV,Plea
19-360,APCON,11/7/2019,9/8/2023,PV,Other
19-104,APCON,4/30/2019,1/4/2024,PV,Plea
19-119,APCON,5/6/2019,6/3/2019,PV,Plea
19-106,APCON,4/26/2019,11/15/2019,PV,Other
19-189,APCON,6/28/2019,00/00/0000,PV,
19-171,APCON,6/14/2019,7/9/2019,PV,Plea
19-125,APCON,4/29/2019,3/8/2022,PV,Other
19-126,APCON,4/8/2019,7/15/2019,PV,Plea
19-127,APCON,4/8/2019,7/15/2019,PV,Plea
19-128,APCON,4/8/2019,7/15/2019,PV,Plea
19-134,APCON,5/9/2019,7/15/2020,PV,Plea
17-367-2,APCON,12/27/2017,00/00/0000,PV,Plea
19-153,APCON,5/24/2019,6/24/2019,PV,Plea
18-136,APCON,5/29/2018,00/00/0000,PV,Plea
18-189,APCON,8/10/2018,8/14/2018,PV,Plea
18-144-1,APCON,6/12/2018,00/00/0000,PV,Plea
18-072-3,APCON,3/16/2018,00/00/0000,PV,Plea
18-192,APCON,5/22/2018,00/00/0000,PV,Plea
19-133,APCON,5/10/2019,5/20/2019,PV,Plea
17-317,APCON,11/7/2018,00/00/0000,PV,Plea
19-136,APCON,5/13/2019,5/23/2019,PV,Plea
17-365,APCON,12/15/2017,00/00/0000,PV,Plea
18-018-2,APCON,3/27/2018,00/00/0000,PV,Plea
18-154-3,APCON,8/1/2018,00/00/0000,PV,Plea
19-190,APCON,7/1/2019,8/7/2019,PV,Plea
17-372-2,APCON,12/21/2017,00/00/0000,PV,Plea
18-096,APCON,12/15/2017,00/00/0000,PV,Plea
18-028-1,APCON,2/2/2018,00/00/0000,PV,Plea
18-044,APCON,2/16/2018,00/00/0000,PV,Plea
19-359,APCON,11/14/2019,8/17/2020,PV,Plea
17-348,APCON,11/28/2017,00/00/0000,PV,Plea
18-190,APCON,8/10/2018,00/00/0000,PV,Plea
19-144,APCON,5/17/2019,8/31/2023,PV,Plea
18-171,APCON,7/15/2018,00/00/0000,PV,Plea
17-353-1,APCON,11/9/2017,00/00/0000,PV,Plea
17-377-2,APCON,4/5/2018,00/00/0000,PV,Plea
17-377-3,APCON,4/5/2018,00/00/0000,PV,Plea
17-377-4,APCON,4/5/2018,00/00/0000,PV,Plea
17-329-2,APCON,12/5/2017,00/00/0000,PV,Dismissed
18-011-2,APCON,1/2/2018,00/00/0000,PV,Dismissed
18-202,APCON,8/28/2018,00/00/0000,PV,Plea
19-154,APCON,5/24/2019,00/00/0000,PV,
18-002,APCON,1/5/2018,00/00/0000,PV,Plea
18-165-1,APCON,7/10/2018,00/00/0000,PV,Plea
18-101-2,APCON,4/9/2018,00/00/0000,PV,Plea
19-156,APCON,5/29/2019,6/14/2019,PV,
19-176,APCON,6/18/2019,00/00/0000,PV,
19-172,APCON,6/12/2019,7/15/2019,PV,Plea
19-174,APCON,6/19/2019,12/16/2019,PV,Plea
19-192,APCON,7/1/2019,8/7/2019,PV,Plea
19-191,APCON,7/1/2019,8/7/2019,PV,Plea
19-193,APCON,7/1/2019,8/7/2019,PV,Plea
19-196,APCON,7/1/2019,9/30/2019,PV,Plea
19-202,APCON,7/3/2019,8/24/2020,PV,Plea
19-203,APCON,7/3/2019,1/2/2020,PV,Plea
19-204,APCON,7/5/2019,9/25/2020,PV,Plea
20-311,APCON,11/20/2020,6/18/2021,PV,Dismissal
19-228,APCON,7/29/2019,00/00/0000,PV,
19-230,APCON,7/30/2019,11/20/2019,PV,Plea
19-244,APCON,8/13/2019,8/20/2019,PV,Plea
19-254,APCON,8/19/2019,2/24/2020,PV,Plea
19-255,APCON,8/19/2019,10/1/2019,PV,Plea
20-277,APCON,10/1/2020,10/9/2023,PV,Plea
21-013,APCON,1/27/2021,2/10/2022,PV,Plea
20-100,APCON,1/1/2020,3/1/2020,PV,Plea
19-293,APCON,9/6/2019,00/00/0000,PV,
19-296,APCON,9/12/2019,12/16/2019,PV,Plea
19-299,APCON,9/18/2019,10/1/2019,PV,Dismissed
20-135,APCON,6/3/2020,11/29/2021,PV,Plea
19-309,APCON,9/23/2019,11/12/2019,PV,Plea
19-311,APCON,9/24/2019,2/24/2020,PV,Plea
19-313,APCON,10/1/2019,12/1/2019,PV,Dismissal
21-109,APCON,5/4/2021,6/1/2021,PV,Plea
22-126,APCON,5/23/2022,6/7/2022,PV,Other
19-339,APCON,10/29/2019,7/13/2020,PV,Plea
20-196,APCON,7/30/2020,10/22/2020,PV,Plea
22-061,APCON,3/25/2022,5/17/2022,PV,Plea
22-141,APCON,4/1/2022,10/1/2022,PV,Other
20-110,APCON,4/6/2020,10/1/2020,PV,Dismissal
19-382,APCON,12/3/2019,2/19/2020,PV,Other
19-383,APCON,11/18/2019,1/8/2020,PV,Plea
20-336,APCON,12/23/2020,1/22/2021,PV,Plea
19-394,APCON,12/10/2019,7/9/2024,PV,Other
20-313,APCON,11/12/2020,1/4/2021,PV,Plea
20-285,APCON,10/22/2020,10/29/2020,PV,Plea
19-400,APCON,12/13/2019,6/21/2023,PV,Plea
19-403,APCON,12/17/2019,4/19/2022,PV,Other
21-075,APCON,3/30/2021,00/00/0000,PV,
21-220,APCON,8/31/2021,00/00/0000,PV,
20-020,APCON,1/16/2020,3/9/2020,PV,Plea
20-025,APCON,1/22/2020,00/00/0000,PV,
20-026,APCON,1/23/2020,8/11/2020,PV,Plea
20-029,APCON,1/1/2020,6/20/2022,PV,Other
20-170,APCON,7/17/2020,2/22/2021,PV,Plea
20-040,CRI,2/7/2020,00/00/0000,PV,
20-044,APCON,2/6/2020,3/10/2020,PV,Plea
20-204,APCON,8/4/2020,00/00/0000,PV,
20-047,APCON,2/25/2020,00/00/0000,PV,
20-048,APCON,2/11/2020,00/00/0000,PV,
20-049,APCON,2/19/2020,00/00/0000,PV,
20-059,APCON,2/24/2020,7/7/2020,PV,plea
22-090,APCON,4/29/2022,3/23/2023,PV,Plea
20-068,APCON,2/14/2020,5/1/2020,PV,Other
20-069,APCON,2/26/2020,3/1/2021,PV,Plea
20-070,APCON,2/27/2020,00/00/0000,PV,
20-075,APCON,2/24/2020,5/11/2020,PV,Plea
20-076,APCON,3/3/2020,00/00/0000,PV,
20-083,CRI,2/7/2020,00/00/0000,PV,
20-107,APCON,4/16/2020,00/00/0000,PV,
20-115,APCON,4/27/2020,8/7/2020,PV,Dismissal
20-119,APCON,5/11/2020,12/31/2020,PV,Plea
20-128,APCON,5/21/2020,6/8/2020,PV,Plea
20-202,APCON,8/7/2020,12/10/2021,PV,Plea
20-130,APCON,5/26/2020,8/20/2020,PV,Plea
21-126,APCON,5/18/2021,00/00/0000,PV,
20-134,APCON,6/1/2020,6/29/2020,PV,Plea
20-138,APCON,6/5/2020,00/00/0000,PV,
20-166,APCON,7/15/2020,9/10/2020,PV,Plea
20-173,APCON,7/23/2020,00/00/0000,PV,
20-197,APCON,8/4/2020,11/12/2024,PV,Plea
22-109,APCON,5/12/2022,8/11/2022,PV,Plea
20-236,APCON,9/15/2020,5/18/2021,PV,Plea
20-239,APCON,9/17/2020,6/23/2021,PV,Dismissal
20-246,APCON,9/25/2020,11/18/2020,PV,Dismissal
20-269,APCON,10/15/2020,10/21/2020,PV,Plea
20-275,APCON,10/16/2020,00/00/0000,PV,
20-276,APCON,10/1/2020,00/00/0000,PV,
20-278,APCON,10/16/2020,10/22/2020,PV,Plea
20-286,APCON,10/22/2020,12/19/2024,PV,Plea
20-283,APCON,10/21/2020,00/00/0000,PV,
20-284,APCON,10/21/2020,9/8/2023,PV,Other
20-293,APCON,10/26/2020,3/15/2023,PV,Other
21-105,APCON,4/21/2021,2/10/2022,PV,Plea
21-106,APCON,4/21/2021,2/10/2022,PV,Plea
20-305,APCON,11/3/2020,3/8/2021,PV,Plea
20-321,APCON,12/3/2020,1/20/2022,PV,Plea
20-325,APCON,12/3/2020,00/00/0000,PV,
20-328,APCON,12/14/2020,4/13/2021,PV,Plea
20-335,APCON,12/17/2020,8/31/2021,PV,Other
21-005,APCON,1/6/2021,3/4/2021,PV,Plea
21-014,CRI,2/1/2021,00/00/0000,PV,
21-018,APCON,2/5/2021,00/00/0000,PV,
21-025,APCON,2/10/2021,4/20/2021,PV,Plea
21-035,APCON,2/17/2021,8/2/2021,PV,Plea
21-036,APCON,2/17/2021,4/15/2021,PV,Plea
21-043,APCON,2/23/2021,5/1/2021,PV,Plea
21-147,APCON,6/24/2021,2/1/2025,PV,Other
21-079,APCON,4/6/2021,7/6/2021,PV,Other
21-062,APCON,3/18/2021,4/19/2022,PV,Other
21-070,APCON,3/19/2021,4/2/2021,PV,Plea
21-072,APCON,3/16/2021,5/12/2021,PV,Plea
21-074,APCON,3/30/2021,11/16/2021,PV,Dismissal
21-080,APCON,4/6/2021,7/6/2021,PV,Other
21-084,APCON,4/12/2021,5/11/2021,PV,Other
18-077,APCON,3/20/2018,6/18/2018,PV,Plea
21-090,CRI,4/16/2021,00/00/0000,PV,
21-097,APCON,4/22/2021,7/12/2021,PV,Plea
21-098,APCON,4/22/2021,7/12/2021,PV,Plea
21-100,APCON,4/21/2021,4/22/2022,PV,Dismissal
21-102,APCON,4/23/2021,8/4/2023,PV,Other
21-103,CRI,4/28/2021,00/00/0000,PV,
21-113,APCON,5/7/2021,1/26/2022,PV,Plea
21-114,APCON,5/7/2021,1/26/2022,PV,Plea
21-232,APCON,9/27/2021,3/1/2022,PV,Plea
21-127,APCON,5/18/2021,00/00/0000,PV,
21-130,APCON,6/2/2021,3/1/2022,PV,Other
22-049,APCON,3/8/2022,00/00/0000,PV,
21-143,APCON,6/21/2021,12/1/2022,PV,Other
21-150,APCON,7/1/2021,7/19/2021,PV,Plea
21-159,APCON,6/29/2021,7/19/2021,PV,Plea
21-268,APCON,11/12/2021,11/14/2022,PV,Plea
21-185,APCON,7/26/2021,12/7/2021,PV,Plea
21-186,APCON,7/26/2021,00/00/0000,PV,
21-187,APCON,7/29/2021,8/13/2021,PV,Other
21-219,APCON,8/31/2021,00/00/0000,PV,
21-224,APCON,9/3/2021,9/17/2021,PV,Other
23-001,APCON,1/3/2023,5/16/2023,PV,Plea
21-227,APCON,9/17/2021,10/4/2021,PV,Other
21-240,APCON,10/5/2021,10/5/2021,PV,Plea
23-121,APCON,5/19/2023,9/19/2023,PV,Plea
22-197,APCON,8/12/2022,1/9/2023,PV,Plea
24-130,APCON,6/18/2024,11/20/2024,PV,Plea
21-254,APCON,10/19/2021,1/23/2023,PV,Plea
21-257,APCON,11/1/2021,4/18/2022,PV,Plea
21-259,APCON,10/26/2021,00/00/0000,PV,
21-261,APCON,10/26/2021,00/00/0000,PV,
21-269,APCON,11/9/2021,9/9/2022,PV,Plea
21-270,APCON,11/9/2021,2/9/2022,PV,Other
21-273,APCON,11/12/2021,2/15/2022,PV,Plea
21-292,APCON,12/1/2021,9/15/2022,PV,plea
21-302,APCON,12/10/2021,10/5/2023,PV,Plea
21-309,APCON,12/13/2021,6/20/2024,PV,Plea
21-310,APCON,12/13/2021,6/20/2024,PV,Plea
21-311,APCON,5/11/2021,11/1/2022,PV,Dismissal
22-002,APCON,1/4/2022,5/11/2022,PV,Plea
21-317,APCON,12/7/2021,12/14/2021,PV,Plea
22-029,APCON,2/10/2022,2/15/2022,PV,Other
22-030,APCON,2/10/2022,2/15/2022,PV,Other
22-051,APCON,3/16/2022,8/11/2022,PV,Plea
22-052,APCON,3/16/2022,8/11/2022,PV,Plea
22-054,APCON,3/16/2022,10/17/2022,PV,Plea
22-064,APCON,3/30/2022,10/5/2023,PV,Plea
22-067,APCON,4/7/2022,8/15/2022,PV,Plea
22-076,APCON,4/15/2022,7/11/2022,PV,Dismissal
22-078,APCON,4/15/2022,6/30/2022,PV,Plea
22-081,APCON,4/19/2022,3/13/2023,PV,Dismissal
22-098,APCON,5/6/2022,8/17/2022,PV,Other
22-104,APCON,5/9/2022,00/00/0000,PV,
22-105,APCON,5/10/2022,10/1/2022,PV,Other
22-106,APCON,5/9/2022,00/00/0000,PV,
22-118,APCON,5/17/2022,7/18/2022,PV,Plea
22-129,APCON,5/26/2022,8/18/2022,PV,Plea
22-151,APCON,6/21/2022,1/5/2023,PV,Plea
22-160,APCON,6/29/2022,12/5/2022,PV,Plea
22-171,APCON,7/13/2022,5/6/2024,PV,Plea
22-172,APCON,7/14/2022,8/16/2022,PV,Other
22-174,APCON,7/15/2022,4/6/2023,PV,Plea
22-191,APCON,8/8/2022,6/1/2023,PV,Dismissal
22-201,APCON,8/16/2022,2/2/2023,PV,Plea
22-205,APCON,8/12/2022,9/8/2022,PV,Plea
23-071,APCON,2/17/2023,3/6/2023,PV,Plea
22-247,APCON,11/1/2022,5/24/2024,PV,Plea
22-248,APCON,10/12/2022,1/23/2023,PV,Plea
22-253,APCON,10/18/2022,1/17/2024,PV,Plea
22-280,APCON,11/28/2022,1/26/2023,PV,Plea
24-147,APCON,7/10/2024,12/16/2024,PV,Plea
22-287,APCON,12/14/2022,1/19/2023,PV,Plea
22-304,APCON,12/22/2022,4/8/2024,PV,Plea
23-252,APCON,10/13/2023,5/15/2024,PV,Plea
23-024,APCON,1/31/2023,8/24/2023,PV,Plea
23-027,APCON,2/3/2023,3/17/2023,PV,Other
23-054,APCON,3/6/2023,3/8/2023,PV,Other
23-087,APCON,4/3/2023,11/13/2023,PV,Other
23-113,CRI,5/5/2023,00/00/0000,PV,
23-118,APCON,5/15/2023,6/20/2023,PV,Other
23-123,APCON,5/22/2023,2/1/2024,PV,Plea
23-130,APCON,4/28/2023,6/20/2023,PV,Plea
23-134,APCON,6/6/2023,6/21/2023,PV,Plea
23-135,APCON,4/4/2023,1/19/2024,PV,Plea
23-189,APCON,8/25/2023,9/13/2023,PV,Plea
23-141,APCON,6/14/2023,7/27/2023,PV,Plea
23-143,APCON,6/21/2023,7/20/2023,PV,Plea
23-155,APCON,7/10/2023,2/15/2024,PV,Plea
23-162,APCON,5/23/2023,00/00/0000,PV,
23-163,APCON,5/23/2023,00/00/0000,PV,
23-164,APCON,1/6/2020,00/00/0000,PV,
23-165,APCON,4/4/2023,10/5/2023,PV,Plea
23-173,APCON,7/31/2023,8/15/2023,PV,Plea
23-176,APCON,8/3/2023,12/19/2023,PV,Plea
23-195,APCON,8/24/2023,10/12/2023,PV,Plea
